AECI,0,0.00,41.80,617,0.00.1,0.00.2,41.98,459.80,41.8000,11,42.00,41.80.1,41.98.1,0.0000,41.98.2,1,11.1,0.1,0.2,Unnamed: 0,Trades,Volume,Turnover,Index Code,Index,Change,Change %
ATEL,183,43.3,0.0,0,0.0,0.00,43.5,0.00,0.0,0,50.0,20.0,43.5,0.0000,43.5,0.0,0,0.0,0.0,,,,,,,,
BATA,"6,683",3.16,0.0,0,0.0,0.00,3.16,0.00,0.0,0,3.16,2.55,3.16,0.0000,3.16,0.0,0,0.0,0.0,,,,,,,,
BATZ,"4,676",2.3,0.0,0,0.0,0.00,2.3,0.00,0.0,0,2.3,1.85,2.3,0.0000,2.3,0.0,0,0.0,0.0,,,,,,,,
CCAF,"4,210",0.46,0.0,0,0.0,0.00,0.45,0.00,0.0,0,0.63,0.4,0.45,0.0000,0.45,0.0,0,0.0,0.0,,,,,,,,
CECZ,602,7.68,0.0,0,7.66,(0.01),7.66,"276,538.40",7.6611,"12,300",7.7,3.76,7.67,(0.1304),7.67,65.0,"36,100",0.0,0.0,,,,,,,,
EIZP,0,0.0,0.0,0,0.0,0.00,2.0,0.00,0.0,0,0.0,0.0,2.0,0.0000,2.0,0.0,0,0.0,0.0,,,,,,,,
FARM,0,0.0,0.0,0,0.0,0.00,4.7,0.00,0.0,0,0.0,0.0,4.7,0.0000,4.7,0.0,0,0.0,0.0,,,,,,,,
INVE,0,0.0,0.0,0,0.0,0.00,25.0,0.00,0.0,0,0.0,0.0,25.0,0.0000,25.0,0.0,0,0.0,0.0,,,,,,,,
CHIL,100,13.8,0.0,0,13.8,0.00,13.8,"15,925.20",13.8,400,14.38,13.37,13.8,0.0000,13.8,13.0,"1,154",0.0,0.0,,,,,,,,
MAFS,0,0.0,1.86,"1,300",0.0,0.00,1.86,0.00,0.0,0,1.87,1.86,1.86,0.0000,1.86,0.0,0,0.0,0.0,,,,,,,,
NANG,0,0.0,0.0,0,0.0,0.00,6.0,0.00,0.0,0,0.0,0.0,6.0,0.0000,6.0,0.0,0,0.0,0.0,,,,,,,,
NATB,0,0.0,4.1,800,4.1,0.00,4.1,410.00,4.1,100,4.1,4.1,4.1,0.0000,4.1,1.0,100,0.0,0.0,,,,,,,,
PMDZ,"20,000",1.0,0.0,0,0.0,0.00,0.8,0.00,0.0,0,0.8,0.71,0.8,0.0000,0.8,0.0,0,0.0,0.0,,,,,,,,
ZMRE,387,2.8,0.0,0,0.0,0.00,2.8,0.00,0.0,0,2.8,2.8,2.8,0.0000,2.8,0.0,0,0.0,0.0,,,,,,,,
PUMA,"5,462",2.8,0.0,0,0.0,0.00,2.8,0.00,0.0,0,2.81,1.79,2.8,0.0000,2.8,0.0,0,0.0,0.0,,,,,,,,
REIZ,"49,424",1.68,0.0,0,0.0,0.00,1.35,0.00,0.0,0,1.35,1.1,1.35,0.0000,1.35,0.0,0,0.0,0.0,,,,,,,,
SCBL,"21,843",3.0,0.0,0,3.0,0.11,3.05,610.00,3.05,100,3.2,1.0,3.1,3.7415,2.94,2.0,200,0.0,0.0,,,,,,,,
SHOP,0,0.0,0.0,0,0.0,0.00,64.0,0.00,0.0,0,64.0,64.0,64.0,0.0000,64.0,0.0,0,0.0,0.0,,,,,,,,
ZABR,"2,342",7.0,0.0,0,0.0,0.00,7.0,0.00,0.0,0,7.0,7.0,7.0,0.0000,7.0,0.0,0,0.0,0.0,,,,,,,,
ZCCM,669,47.0,0.0,0,0.0,0.00,47.0,0.00,0.0,0,47.0,37.98,47.0,0.0000,47.0,0.0,0,0.0,0.0,,,,,,,,
ZMBF,0,0.0,2.4,"188,300",2.4,(0.03),2.4,"3,840.00",2.4,"1,000",2.6,2.0,2.4,(1.2346),2.43,4.0,"1,600",0.0,0.0,,,,,,,,
ZMFA,202,5.0,0.0,0,0.0,0.00,5.0,0.00,0.0,0,5.0,4.79,5.0,0.0000,5.0,0.0,0,0.0,0.0,,,,,,,,
ZNCO,"13,315",6.0,0.0,0,6.0,0.01,6.01,"133,506.21",6.0257,"8,200",6.2,3.0,6.2,0.1667,6.0,72.0,"22,200",0.0,0.0,,,,,,,,
ZSUG,0,0.0,35.0,"1,900",35.0,0.00,35.0,"3,500.00",35.0,100,43.75,17.99,35.0,0.0000,35.0,1.0,100,0.0,0.0,,,,,,,,
ZFCO,0,0.0,2.53,"22,100",0.0,0.00,2.53,0.00,0.0,0,2.53,2.53,2.53,0.0000,2.53,0.0,0,0.0,0.0,,,,,,,,
LUSE,"2,754",0.1,0.0,0,0.0,0.00,0.1,0.00,0.0,0,0.0,0.0,0.1,0.0000,0.1,0.0,0,0.0,0.0,,,,,,,,
RELA,"10,526",0.01,0.0,0,0.0,0.00,0.01,0.00,0.0,0,0.0,0.0,0.01,0.0000,0.01,0.0,0,0.0,0.0,,,,,,,,
RELA2023,0,0.0,0.0,0,0.0,0.00,1.0,0.00,0.0,0,0.0,0.0,1.0,0.0000,1.0,0.0,0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Total,159.0,"61,465","434,789.61",,,,
,,,,,,,,,,,,,,,,,,,,,,,,ASI,"12,416.30",39.64,0.32
